出表日期,年度,季別,公司代號,公司名稱,營業收入,營業成本,營業毛利（毛損）,未實現銷貨（損）益,已實現銷貨（損）益,營業毛利（毛損）淨額,營業費用,其他收益及費損淨額,營業利益（損失）,營業外收入及支出,稅前淨利（淨損）,所得稅費用（利益）,繼續營業單位本期淨利（淨損）,停業單位損益,合併前非屬共同控制股權損益,本期淨利（淨損）,其他綜合損益（淨額）,合併前非屬共同控制股權綜合損益淨額,本期綜合損益總額,淨利（淨損）歸屬於母公司業主,淨利（淨損）歸屬於共同控制下前手權益,淨利（淨損）歸屬於非控制權益,綜合損益總額歸屬於母公司業主,綜合損益總額歸屬於共同控制下前手權益,綜合損益總額歸屬於非控制權益,基本每股盈餘（元）
"110/05/29","104","4","1258","其祥-KY","1837201.00","1399499.00","437702.00","--","--","437702.00","287363.00","--","150339.00","8023.00","158362.00","31417.00","126945.00","--","--","126945.00","-65994.00","--","60951.00","129214.00","--","-2269.00","77851.00","--","-16900.00","3.79"
"110/05/29","104","4","1259","安心","4424550.00","3252834.00","1171716.00","--","--","1171716.00","1035795.00","--","135921.00","-9801.00","126120.00","39792.00","86328.00","--","--","86328.00","-4865.00","--","81463.00","131234.00","--","-44906.00","126776.00","--","-45313.00","4.05"
"110/05/29","104","4","1264","德麥","3888905.00","2497175.00","1391730.00","18.00","58.00","1391770.00","842034.00","--","549736.00","-10921.00","538815.00","103757.00","435058.00","--","--","435058.00","-13556.00","--","421502.00","399091.00","--","35967.00","390940.00","--","30562.00","13.33"
"110/05/29","104","4","1268","漢來美食","2896411.00","1641465.00","1254946.00","--","--","1254946.00","1014767.00","--","240179.00","549.00","240728.00","59377.00","181351.00","--","--","181351.00","-92319.00","--","89032.00","181351.00","--","--","89032.00","--","--","6.13"
"110/05/29","104","4","1336","台翰","1826645.00","1787400.00","39245.00","--","--","39245.00","225141.00","0.00","-185896.00","10017.00","-175879.00","-26799.00","-149080.00","--","--","-149080.00","-19244.00","--","-168324.00","-149080.00","--","--","-168324.00","--","--","-2.38"
"110/05/29","104","4","1565","精華","5860212.00","3697034.00","2163178.00","--","--","2163178.00","497005.00","--","1666173.00","51411.00","1717584.00","261599.00","1455985.00","--","--","1455985.00","3770.00","--","1459755.00","1455985.00","--","--","1459755.00","--","--","28.88"
"110/05/29","104","4","1569","濱川","2345847.00","2341449.00","4398.00","--","--","4398.00","276576.00","--","-272178.00","-65036.00","-337214.00","-21012.00","-316202.00","--","--","-316202.00","-23457.00","--","-339659.00","-316202.00","--","--","-339659.00","--","--","-3.54"
"110/05/29","104","4","1570","力肯","703231.00","531897.00","171334.00","--","--","171334.00","78732.00","--","92602.00","11892.00","104494.00","18187.00","86307.00","--","--","86307.00","-1437.00","--","84870.00","86307.00","--","--","84870.00","--","--","1.68"
"110/05/29","104","4","1580","新麥","4108932.00","2464450.00","1644482.00","--","--","1644482.00","969742.00","--","674740.00","5756.00","680496.00","193556.00","486940.00","--","--","486940.00","-26685.00","--","460255.00","471817.00","--","15123.00","444562.00","--","15693.00","9.72"
"110/05/29","104","4","1584","精剛","1009655.00","1017512.00","-7857.00","--","--","-7857.00","88971.00","--","-96828.00","-16233.00","-113061.00","1222.00","-114283.00","--","--","-114283.00","-6594.00","--","-120877.00","--","--","--","--","--","--","-1.12"
"110/05/29","104","4","1586","和勤","1699882.00","1445432.00","254450.00","--","--","254450.00","241705.00","--","12745.00","-36308.00","-23563.00","-11426.00","-12137.00","--","--","-12137.00","-23144.00","--","-35281.00","-12137.00","--","0.00","-35281.00","--","0.00","-0.27"
"110/05/29","104","4","1591","駿吉-KY","571390.00","448659.00","122731.00","--","--","122731.00","62958.00","--","59773.00","-25.00","59748.00","20422.00","39326.00","--","--","39326.00","-84598.00","--","-45272.00","39326.00","--","--","-45272.00","--","--","1.30"
"110/05/29","104","4","1593","祺驊","842821.00","608971.00","233850.00","--","--","233850.00","162419.00","--","71431.00","30301.00","101732.00","14968.00","86764.00","--","--","86764.00","-8546.00","--","78218.00","95564.00","--","-8800.00","87018.00","--","-8800.00","3.21"
"110/05/29","104","4","1595","川寶","1086910.00","641095.00","445815.00","--","--","445815.00","207933.00","--","237882.00","38154.00","276036.00","65919.00","210117.00","--","--","210117.00","2525.00","--","212642.00","210117.00","0.00","0.00","212642.00","0.00","0.00","5.43"
"110/05/29","104","4","1599","宏佳騰","2764610.00","2000151.00","764459.00","--","--","764459.00","452475.00","--","311984.00","46825.00","358809.00","50642.00","308167.00","--","--","308167.00","-45284.00","--","262883.00","308167.00","0.00","0.00","262883.00","0.00","0.00","6.85"
