"","公司代號","產業類別","公司簡稱","AverageROE","StdROE","count","RateROE","本期綜合損益總額mean","權益總額mean","基本每股盈餘元mean","ROEmean","負債比例mean","每股參考淨值mean","現金股利元股mean","本期綜合損益總額last","權益總額last","基本每股盈餘元last","ROElast","負債比例last","每股參考淨值last","現金股利元股last","K值法mean","K值法last","股利法mean","股利法last","本益比法mean","本益比法last","weight","Open","High","Low","ClosePrice","Volume","Adjusted","day"
"1","5864","金融業","致和證",0.0417210006393788,0.0698818599402637,8,0.0237393946955181,296226.4,3453061.4,1.212,0.0831877719490751,0.319961142015782,15.338,0.564,567628,3973730,1.98,0.142845135426916,0.385313976781419,16.73,0.55,15.9491755769364,29.8724889461539,9.4,9.16666666666667,16.968,27.72,0.000990431301270177,24.049999,25.5,23.85,25.4,4819000,25.4,"2021-05-28"
"2","6015","金融業","宏遠證",0.00990011561853566,0.0631080269415373,8,0.00271582804557525,25845.8,4142365.2,0.122,0.00493781830054945,0.648654094589454,11.566,0.132,408192,4159366,1.24,0.0981380335368419,0.753508607920276,12.57,0.15,0.713885080801937,15.4199385194763,2.2,2.5,1.708,17.36,2.68870116512567e-05,22.85,24.9,22.700001,24.9,41586000,24.9,"2021-05-28"
"3","6016","金融業","康和證",0.0293166107157815,0.0646113926496598,8,0.014072166810912,332134,7417355,0.486,0.0402873785814926,0.736108764749062,12.378,0.182,1185242,8267374,1.83,0.143363781534499,0.76779843355433,13.82,0.33,6.23346465102144,24.7660932600848,3.03333333333333,5.5,6.804,25.62,0.000412548236323049,17,17.700001,17,17.549999,12474000,17.549999,"2021-05-28"
"4","6020","金融業","大展證",0.0376830543643946,0.0313514369593193,8,-0.00131967384329361,139380.4,3915213.8,0.506,0.0348149944672118,0.253822340406677,15.512,0.28362595,256798,4170838,1.03,0.0615698811605725,0.404075504608771,16.53,0.32474527,6.75062742719236,12.7218766948033,4.72709916666667,5.41242116666667,7.084,14.42,-4.97293411801027e-05,22.799999,24.049999,22.799999,23.799999,328000,23.799999,"2021-05-28"
"5","6021","金融業","大慶證",0.0314549106822017,0.041355823490231,8,0.000846430459446684,171230.4,4716936.2,0.288,0.0351711333040441,0.431666943675779,15.376,0.27,334617,4976630,0.34,0.0672376688642716,0.636313504258963,16.22,0,6.75989182103728,13.6324373622311,4.5,0,4.032,4.76,2.66243945005904e-05,22.4,23.299999,22.4,22.5,142000,22.5,"2021-05-28"
"6","6023","金融業","元大期貨",0.125992650482359,0.0187571053182447,8,-0.000379860778258801,1078713.4,8717346,4.158,0.12618780419792,0.880160655121635,35.498,2.734,1095841,11858562,4.23,0.092409265136869,0.877673896063616,40.89,3.2,55.9926834177222,47.2326856430822,45.5666666666667,53.3333333333333,58.212,59.22,-4.78596662671178e-05,50.099998,50.5,50.099998,50.299999,74000,50.299999,"2021-05-28"
"7","6026","金融業","福邦證",0.0847394601926257,0.0477474163684239,8,-0.00639492933446209,253438.2,3393107.6,0.94,0.0730488954825593,0.335412265357405,12.416,0.666,300799,3565380,1.05,0.0843666032793138,0.512600697378345,13.01,0.7,11.3371885788932,13.7201188582984,11.1,11.6666666666667,13.16,14.7,-0.000541902859772304,16.549999,17.450001,16.5,17.1,7084000,17.1,"2021-05-28"
"8","1258","食品工業","其祥-KY",-0.00949037373569929,0.153920611516571,8,-0.0506543155912533,-41695.4,760134,-0.556,-0.0754865175092496,0.66541900492742,19.222,0.366,-69355,562839,-0.43,-0.123223515072694,0.777322492470121,14.61,0,-18.137522994535,-22.5036944401507,6.1,0,-7.784,-6.02,0.000480728386287053,16.75,16.75,16.6,16.6,7000,16.6,"2021-05-28"
"9","1259","觀光事業","安心",0.0615517936220568,0.0269985627649283,8,0.00935260455714896,144496.6,1814611.6,4.988,0.079572912134018,0.47020165079764,55.178,3.18,170893,1939491,4.96,0.0881122933800672,0.584070211933241,58.98,3.2,54.8834268216356,64.9607882944546,53,53.3333333333333,69.832,69.44,0.00057566958553034,67.5,67.599998,67.5,67.5,3000,67.5,"2021-05-28"
"10","1264","食品工業","德麥",0.199493178553881,0.0194802713134489,8,-0.00478296898546177,525956,2755170.2,14.248,0.19054936711787,0.179879795809867,68.906,10.7,643556,3160779,16,0.203606769090784,0.214083191666959,75.03,11,164.124933632799,190.957698561019,178.333333333333,183.333333333333,199.472,224,-0.000954169685834401,307,307,305.5,305.5,14000,305.5,"2021-05-28"
"11","1336","電子零組件業","台翰",-0.00094485840410821,0.0969654104543849,8,0.016769156556798,40067.4,1549397.6,0.782,0.0144911259689649,0.363236298956051,19.724,0.398,169525,1630910,2.48,0.103945036819935,0.335243611403789,21.15,0.72,3.57278710764829,27.4804691092703,6.63333333333333,12,10.948,34.72,-1.58444785024969e-05,22.799999,23.299999,22.700001,23.049999,172000,23.049999,"2021-05-28"
"12","1565","生技醫療業","精華",0.297231267852075,0.0854419155604307,8,-0.0328758674420407,1416420.2,5552857.8,28.032,0.256704071420704,0.324098091575342,110.14,22.9,770078,5625979,14.78,0.136878932537786,0.300661750977474,111.59,18,353.417330328454,190.929001023644,381.666666666667,300,392.448,206.92,-0.00977173576153451,282,283,279.5,280.5,237000,280.5,"2021-05-28"
"13","1569","電腦及週邊設備業","濱川",0.016487741428762,0.0872211282744426,8,0.013048687045472,133023.2,2629490.6,1.866,0.046280644439655,0.56979392682985,23.22,0.37,399387,3242742,3.42,0.123163359897272,0.541389010280322,26.11,0.3,13.4329570486099,40.1974415864722,6.16666666666667,5,26.124,47.88,0.000215143377990578,25.700001,25.799999,25.5,25.75,544000,25.75,"2021-05-28"
"14","1570","電機機械","力肯",0.117986385933132,0.0381453231936264,8,-0.0142038755968606,67809.6,722677.2,1.338,0.0943252729106412,0.201039550961888,14.032,0.74,48091,773369,0.93,0.062183769972678,0.185919656080952,15.02,0.8,16.5446528685265,11.6750028123703,12.3333333333333,13.3333333333333,18.732,13.02,-0.00167586394791738,15.55,16.1,15.55,15.95,268000,15.95,"2021-05-28"
"15","1580","電機機械","新麥",0.250210053704174,0.0677817720513966,8,-0.0256039288975839,449280,2133302.6,9.704,0.212500153370657,0.350226660223711,41.862,6.6,353353,2332025,6.79,0.151521960527867,0.323410415944365,45.17,5,111.19601775503,85.5530869630471,110,83.3333333333333,135.856,95.06,-0.0064063604245023,106.5,106.5,104.5,105,109000,105,"2021-05-28"
"16","1584","其他","精剛",-0.069065833375267,0.0665634320568705,8,0.0104504784433298,-52046.2,925339.4,-0.418,-0.0557726176494896,0.555788463427761,11.022,0,9508,827345,0.41,0.0114921828257861,0.602139472032739,10.03,0,-7.68407239665843,1.44083242178293,0,0,-5.852,5.74,-0.000721771002858833,11.75,12.4,11.55,12.25,801000,12.25,"2021-05-28"
"17","1586","電機機械","和勤",0.0208285612519262,0.0657210167340045,8,-0.000179222556790517,18190.2,1438088.8,0.614,0.00916851383017758,0.559135682218964,19.218,0.164,144757,1567931,1.69,0.0923235780145938,0.616370400890999,19.21,0.06,2.20250623485441,22.1691991707543,2.73333333333333,1,8.596,23.66,-3.73294800183811e-06,43.700001,43.950001,43.400002,43.700001,1304000,43.700001,"2021-05-28"
"18","1591","電機機械","駿吉-KY",0.0461401070776844,0.0835035996003765,8,0.00239210918388009,25324.2,389999,1.066,0.0637009484038922,0.412643134909163,11.996,0.4,31260,403323,1.59,0.0775061179253353,0.453068702207263,12.25,0.5,9.55195721316363,11.868124307317,6.66666666666667,8.33333333333333,14.924,22.26,0.00011037217388574,18.9,19.4,18.299999,18.9,45000,18.9,"2021-05-28"
"19","1593","生技醫療業","祺驊",0.110060729308005,0.0245705623743841,8,0.00761835481233724,107506.4,875326.4,3.82,0.12202502523356,0.210666730554186,27.36,3.093419534,122485,1000849,4.49,0.122381098447418,0.253226496029416,29.26,3.2,41.7325586298776,44.7608867571432,51.5569922333333,53.3333333333333,53.48,62.86,0.000838481686772983,97,97,94.199997,95.199997,57000,95.199997,"2021-05-28"
