"","lb","p","max_overlap","median_reward_avg","avg_reward_avg","lose_count","trade_count"
"1",0.5,0.01,0,NA,NA,0,0
"2",0.5,0.02,0,NA,NA,0,0
"3",0.5,0.03,0,NA,NA,0,0
"4",0.5,0.04,0,NA,NA,0,0
"5",0.5,0.05,0,NA,NA,0,0
"6",0.5,0.06,0,NA,NA,0,0
"7",0.5,0.07,0,NA,NA,0,0
"8",0.5,0.08,0,NA,NA,0,0
"9",0.5,0.09,0,NA,NA,0,0
"10",0.5,0.1,0,NA,NA,0,0
"11",0.5,0.11,0,NA,NA,0,0
"12",0.5,0.12,0,NA,NA,0,0
"13",0.5,0.13,0,NA,NA,0,0
"14",0.5,0.14,0,NA,NA,0,0
"15",0.5,0.15,0,NA,NA,0,0
"16",0.5,0.16,0,NA,NA,0,0
"17",0.5,0.17,0,NA,NA,0,0
"18",0.5,0.18,0,NA,NA,0,0
"19",0.5,0.19,0,NA,NA,0,0
"20",0.5,0.2,0,NA,NA,0,0
"21",0.5,0.21,0,NA,NA,0,0
"22",0.5,0.22,0,NA,NA,0,0
"23",0.5,0.23,0,NA,NA,0,0
"24",0.5,0.24,0,NA,NA,0,0
"25",0.5,0.25,0,NA,NA,0,0
"26",0.5,0.26,0,NA,NA,0,0
"27",0.5,0.27,0,NA,NA,0,0
"28",0.5,0.28,0,NA,NA,0,0
"29",0.5,0.29,0,NA,NA,0,0
"30",0.5,0.3,0,NA,NA,0,0
"31",0.5,0.31,0,NA,NA,0,0
"32",0.5,0.32,0,NA,NA,0,0
"33",0.5,0.33,0,NA,NA,0,0
"34",0.5,0.34,0,NA,NA,0,0
"35",0.5,0.35,0,NA,NA,0,0
"36",0.5,0.36,0,NA,NA,0,0
"37",0.5,0.37,0,NA,NA,0,0
"38",0.5,0.38,0,NA,NA,0,0
"39",0.5,0.39,0,NA,NA,0,0
"40",0.5,0.4,0,NA,NA,0,0
"41",0.5,0.41,0,NA,NA,0,0
"42",0.5,0.42,0,NA,NA,0,0
"43",0.5,0.43,0,NA,NA,0,0
"44",0.5,0.44,0,NA,NA,0,0
"45",0.5,0.45,0,NA,NA,0,0
"46",0.5,0.46,0,NA,NA,0,0
"47",0.5,0.47,0,NA,NA,0,0
"48",0.5,0.48,0,NA,NA,0,0
"49",0.5,0.49,0,NA,NA,0,0
"50",0.5,0.5,0,NA,NA,0,0
"51",1,0.01,0,NA,NA,0,0
"52",1,0.02,0,NA,NA,0,0
"53",1,0.03,0,NA,NA,0,0
"54",1,0.04,0,NA,NA,0,0
"55",1,0.05,0,NA,NA,0,0
"56",1,0.06,0,NA,NA,0,0
"57",1,0.07,0,NA,NA,0,0
"58",1,0.08,0,NA,NA,0,0
"59",1,0.09,0,NA,NA,0,0
"60",1,0.1,0,NA,NA,0,0
"61",1,0.11,0,NA,NA,0,0
"62",1,0.12,0,NA,NA,0,0
"63",1,0.13,0,NA,NA,0,0
"64",1,0.14,0,NA,NA,0,0
"65",1,0.15,0,NA,NA,0,0
"66",1,0.16,0,NA,NA,0,0
"67",1,0.17,0,NA,NA,0,0
"68",1,0.18,0,NA,NA,0,0
"69",1,0.19,0,NA,NA,0,0
"70",1,0.2,0,NA,NA,0,0
